DateTime,Behaviour
26/01/2018-07:22:37.500,5
26/01/2018-07:22:47.500,1
26/01/2018-07:22:57.500,1
26/01/2018-07:23:07.500,1
26/01/2018-07:23:17.500,5
26/01/2018-07:23:27.500,5
26/01/2018-07:23:37.500,5
26/01/2018-07:23:47.500,1
26/01/2018-07:23:57.500,5
26/01/2018-07:24:07.500,1
26/01/2018-07:24:17.500,1
26/01/2018-07:24:27.500,1
26/01/2018-07:24:37.500,1
26/01/2018-07:24:47.500,1
26/01/2018-07:24:57.500,1
26/01/2018-07:25:07.500,1
26/01/2018-07:25:17.500,5
26/01/2018-07:25:27.500,1
26/01/2018-07:25:37.500,1
26/01/2018-07:25:47.500,1
26/01/2018-07:25:57.500,1
26/01/2018-07:26:07.500,1
26/01/2018-07:26:17.500,5
26/01/2018-07:26:27.500,1
26/01/2018-07:26:37.500,1
26/01/2018-07:26:47.500,1
26/01/2018-07:26:57.500,5
26/01/2018-07:27:07.500,2
26/01/2018-07:27:17.500,1
26/01/2018-07:27:27.500,1
26/01/2018-07:27:37.500,1
26/01/2018-07:27:47.500,1
26/01/2018-07:27:57.500,1
26/01/2018-07:28:07.500,3
26/01/2018-07:28:17.500,3
26/01/2018-07:28:27.500,1
26/01/2018-07:28:37.500,2
26/01/2018-07:28:47.500,1
26/01/2018-07:28:57.500,5
26/01/2018-07:29:07.500,3
26/01/2018-07:29:17.500,1
26/01/2018-07:29:27.500,1
26/01/2018-07:29:37.500,2
26/01/2018-07:29:47.500,3
26/01/2018-07:29:57.500,1
26/01/2018-07:30:07.500,2
26/01/2018-07:30:17.500,1
26/01/2018-07:30:27.500,3
26/01/2018-07:30:37.500,1
26/01/2018-07:30:47.500,5
26/01/2018-07:30:57.500,1
26/01/2018-07:31:07.500,3
26/01/2018-07:31:17.500,1
26/01/2018-07:31:27.500,5
26/01/2018-07:31:37.500,1
26/01/2018-07:31:47.500,1
26/01/2018-07:31:57.500,5
26/01/2018-07:32:07.500,1
26/01/2018-07:32:17.500,3
26/01/2018-07:32:27.500,3
26/01/2018-07:32:37.500,3
26/01/2018-07:32:47.500,3
26/01/2018-07:32:57.500,2
26/01/2018-07:33:07.500,2
26/01/2018-07:33:17.500,2
26/01/2018-07:33:27.500,1
26/01/2018-07:33:37.500,1
26/01/2018-07:33:47.500,1
26/01/2018-07:33:57.500,2
26/01/2018-07:34:07.500,1
26/01/2018-07:34:17.500,2
26/01/2018-07:34:27.500,3
26/01/2018-07:34:37.500,5
26/01/2018-07:34:47.500,1
26/01/2018-07:34:57.500,5
26/01/2018-07:35:07.500,1
26/01/2018-07:35:17.500,1
26/01/2018-07:35:27.500,5
26/01/2018-07:35:37.500,5
26/01/2018-07:35:47.500,5
26/01/2018-07:35:57.500,5
26/01/2018-07:36:07.500,5
26/01/2018-07:36:17.500,1
26/01/2018-07:36:27.500,5
26/01/2018-07:36:37.500,3
26/01/2018-07:36:47.500,1
26/01/2018-07:36:57.500,1
26/01/2018-07:37:07.500,3
26/01/2018-07:37:17.500,1
26/01/2018-07:37:27.500,1
26/01/2018-07:37:37.500,1
26/01/2018-07:37:47.500,1
26/01/2018-07:37:57.500,5
26/01/2018-07:38:07.500,5
26/01/2018-07:38:17.500,1
26/01/2018-07:38:27.500,1
26/01/2018-07:38:37.500,1
26/01/2018-07:38:47.500,1
26/01/2018-07:38:57.500,1
26/01/2018-07:39:07.500,1
26/01/2018-07:39:17.500,1
26/01/2018-07:39:27.500,1
26/01/2018-07:39:37.500,1
26/01/2018-07:39:47.500,1
26/01/2018-07:39:57.500,1
26/01/2018-07:40:07.500,1
26/01/2018-07:40:17.500,1
26/01/2018-07:40:27.500,1
26/01/2018-07:40:37.500,1
26/01/2018-07:40:47.500,1
26/01/2018-07:40:57.500,3
26/01/2018-07:41:07.500,1
26/01/2018-07:41:17.500,5
26/01/2018-07:41:27.500,2
26/01/2018-07:41:37.500,5
26/01/2018-07:41:47.500,3
26/01/2018-07:41:57.500,2
26/01/2018-07:42:07.500,3
26/01/2018-07:42:17.500,1
26/01/2018-07:42:27.500,5
26/01/2018-07:42:37.500,5
26/01/2018-07:42:47.500,5
26/01/2018-07:42:57.500,5
26/01/2018-07:43:07.500,1
26/01/2018-07:43:17.500,2
26/01/2018-07:43:27.500,1
26/01/2018-07:43:37.500,1
26/01/2018-07:43:47.500,1
26/01/2018-07:43:57.500,1
26/01/2018-07:44:07.500,1
26/01/2018-07:44:17.500,5
26/01/2018-07:44:27.500,5
26/01/2018-07:44:37.500,5
26/01/2018-07:44:47.500,1
26/01/2018-07:44:57.500,1
26/01/2018-07:45:07.500,5
26/01/2018-07:45:17.500,1
26/01/2018-07:45:27.500,5
26/01/2018-07:45:37.500,3
26/01/2018-07:45:47.500,3
26/01/2018-07:45:57.500,1
26/01/2018-07:46:07.500,3
26/01/2018-07:46:17.500,1
26/01/2018-07:46:27.500,1
26/01/2018-07:46:37.500,1
26/01/2018-07:46:47.500,1
26/01/2018-07:46:57.500,1
26/01/2018-07:47:07.500,5
26/01/2018-07:47:17.500,5
26/01/2018-07:47:27.500,1
26/01/2018-07:47:37.500,3
26/01/2018-07:47:47.500,3
26/01/2018-07:47:57.500,1
26/01/2018-07:48:07.500,1
26/01/2018-07:48:17.500,5
26/01/2018-07:48:27.500,5
26/01/2018-07:48:37.500,2
26/01/2018-07:48:47.500,1
26/01/2018-07:48:57.500,3
26/01/2018-07:49:07.500,1
26/01/2018-07:49:17.500,1
26/01/2018-07:49:27.500,3
26/01/2018-07:49:37.500,3
26/01/2018-07:49:47.500,3
26/01/2018-07:49:57.500,3
26/01/2018-07:50:07.500,3
26/01/2018-07:50:17.500,3
26/01/2018-07:50:27.500,3
26/01/2018-07:50:37.500,3
26/01/2018-07:50:47.500,1
26/01/2018-07:50:57.500,1
26/01/2018-07:51:07.500,5
26/01/2018-07:51:17.500,1
26/01/2018-07:51:27.500,1
26/01/2018-07:51:37.500,1
26/01/2018-07:51:47.500,1
26/01/2018-07:51:57.500,1
26/01/2018-07:52:07.500,5
26/01/2018-07:52:17.500,3
26/01/2018-07:52:27.500,2
26/01/2018-07:52:37.500,3
26/01/2018-07:52:47.500,3
26/01/2018-07:52:57.500,3
26/01/2018-07:53:07.500,3
26/01/2018-07:53:17.500,3
26/01/2018-07:53:27.500,3
26/01/2018-07:53:37.500,3
26/01/2018-07:53:47.500,3
26/01/2018-07:53:57.500,3
26/01/2018-07:54:07.500,3
26/01/2018-07:54:17.500,3
26/01/2018-07:54:27.500,3
26/01/2018-07:54:37.500,3
26/01/2018-07:54:47.500,3
26/01/2018-07:54:57.500,3
26/01/2018-07:55:07.500,3
26/01/2018-07:55:17.500,3
26/01/2018-07:55:27.500,1
26/01/2018-07:55:37.500,1
26/01/2018-07:55:47.500,3
26/01/2018-07:55:57.500,3
26/01/2018-07:56:07.500,1
26/01/2018-07:56:17.500,3
26/01/2018-07:56:27.500,3
26/01/2018-07:56:37.500,3
26/01/2018-07:56:47.500,3
26/01/2018-07:56:57.500,3
26/01/2018-07:57:07.500,3
26/01/2018-07:57:17.500,3
26/01/2018-07:57:27.500,3
26/01/2018-07:57:37.500,1
26/01/2018-07:57:47.500,1
26/01/2018-07:57:57.500,1
26/01/2018-07:58:07.500,3
26/01/2018-07:58:17.500,1
26/01/2018-07:58:27.500,1
26/01/2018-07:58:37.500,1
26/01/2018-07:58:47.500,1
26/01/2018-07:58:57.500,1
26/01/2018-07:59:07.500,1
26/01/2018-07:59:17.500,1
26/01/2018-07:59:27.500,5
26/01/2018-07:59:37.500,1
26/01/2018-07:59:47.500,5
26/01/2018-07:59:57.500,1
26/01/2018-08:00:07.500,5
26/01/2018-08:00:17.500,1
26/01/2018-08:00:27.500,1
26/01/2018-08:00:37.500,5
26/01/2018-08:00:47.500,5
26/01/2018-08:00:57.500,1
26/01/2018-08:01:07.500,5
26/01/2018-08:01:17.500,5
26/01/2018-08:01:27.500,5
26/01/2018-08:01:37.500,5
26/01/2018-08:01:47.500,1
26/01/2018-08:01:57.500,1
26/01/2018-08:02:07.500,2
26/01/2018-08:02:17.500,3
26/01/2018-08:02:27.500,1
26/01/2018-08:02:37.500,3
26/01/2018-08:02:47.500,3
26/01/2018-08:02:57.500,3
26/01/2018-08:03:07.500,3
26/01/2018-08:03:17.500,3
26/01/2018-08:03:27.500,3
26/01/2018-08:03:37.500,3
26/01/2018-08:03:47.500,3
26/01/2018-08:03:57.500,3
26/01/2018-08:04:07.500,3
26/01/2018-08:04:17.500,3
26/01/2018-08:04:27.500,3
26/01/2018-08:04:37.500,1
26/01/2018-08:04:47.500,2
26/01/2018-08:04:57.500,1
26/01/2018-08:05:07.500,1
26/01/2018-08:05:17.500,3
26/01/2018-08:05:27.500,3
26/01/2018-08:05:37.500,2
26/01/2018-08:05:47.500,3
26/01/2018-08:05:57.500,3
26/01/2018-08:06:07.500,3
26/01/2018-08:06:17.500,3
26/01/2018-08:06:27.500,3
26/01/2018-08:06:37.500,3
26/01/2018-08:06:47.500,2
26/01/2018-08:06:57.500,3
26/01/2018-08:07:07.500,3
26/01/2018-08:07:17.500,1
26/01/2018-08:07:27.500,3
26/01/2018-08:07:37.500,2
26/01/2018-08:07:47.500,3
26/01/2018-08:07:57.500,1
26/01/2018-08:08:07.500,1
26/01/2018-08:08:17.500,3
26/01/2018-08:08:27.500,1
26/01/2018-08:08:37.500,1
26/01/2018-08:08:47.500,3
26/01/2018-08:08:57.500,3
26/01/2018-08:09:07.500,3
26/01/2018-08:09:17.500,1
26/01/2018-08:09:27.500,1
26/01/2018-08:09:37.500,1
26/01/2018-08:09:47.500,2
26/01/2018-08:09:57.500,3
26/01/2018-08:10:07.500,3
26/01/2018-08:10:17.500,3
26/01/2018-08:10:27.500,3
26/01/2018-08:10:37.500,3
26/01/2018-08:10:47.500,1
26/01/2018-08:10:57.500,1
26/01/2018-08:11:07.500,1
26/01/2018-08:11:17.500,3
26/01/2018-08:11:27.500,1
26/01/2018-08:11:37.500,3
26/01/2018-08:11:47.500,1
26/01/2018-08:11:57.500,3
26/01/2018-08:12:07.500,1
26/01/2018-08:12:17.500,3
26/01/2018-08:12:27.500,5
26/01/2018-08:12:37.500,3
26/01/2018-08:12:47.500,1
26/01/2018-08:12:57.500,3
26/01/2018-08:13:07.500,3
26/01/2018-08:13:17.500,3
26/01/2018-08:13:27.500,3
26/01/2018-08:13:37.500,3
26/01/2018-08:13:47.500,3
26/01/2018-08:13:57.500,3
26/01/2018-08:14:07.500,1
26/01/2018-08:14:17.500,3
26/01/2018-08:14:27.500,3
26/01/2018-08:14:37.500,1
26/01/2018-08:14:47.500,3
26/01/2018-08:14:57.500,3
26/01/2018-08:15:07.500,3
26/01/2018-08:15:17.500,3
26/01/2018-08:15:27.500,3
26/01/2018-08:15:37.500,1
26/01/2018-08:15:47.500,1
26/01/2018-08:15:57.500,3
26/01/2018-08:16:07.500,3
26/01/2018-08:16:17.500,1
26/01/2018-08:16:27.500,5
26/01/2018-08:16:37.500,1
26/01/2018-08:16:47.500,1
26/01/2018-08:16:57.500,1
26/01/2018-08:17:07.500,5
26/01/2018-08:17:17.500,1
26/01/2018-08:17:27.500,1
26/01/2018-08:17:37.500,5
26/01/2018-08:17:47.500,1
26/01/2018-08:17:57.500,1
26/01/2018-08:18:07.500,1
26/01/2018-08:18:17.500,3
26/01/2018-08:18:27.500,3
26/01/2018-08:18:37.500,1
26/01/2018-08:18:47.500,3
26/01/2018-08:18:57.500,3
26/01/2018-08:19:07.500,3
26/01/2018-08:19:17.500,5
26/01/2018-08:19:27.500,3
26/01/2018-08:19:37.500,2
26/01/2018-08:19:47.500,2
26/01/2018-08:19:57.500,3
26/01/2018-08:20:07.500,3
26/01/2018-08:20:17.500,2
26/01/2018-08:20:27.500,3
26/01/2018-08:20:37.500,3
26/01/2018-08:20:47.500,1
26/01/2018-08:20:57.500,3
26/01/2018-08:21:07.500,3
26/01/2018-08:21:17.500,3
26/01/2018-08:21:27.500,3
26/01/2018-08:21:37.500,3
26/01/2018-08:21:47.500,3
26/01/2018-08:21:57.500,3
26/01/2018-08:22:07.500,3
26/01/2018-08:22:17.500,3
26/01/2018-08:22:27.500,3
26/01/2018-08:22:37.500,1
