DateTime,Behaviour
00/00/1970-00:00:00.,3
00/00/1970-00:00:10.000,3
00/00/1970-00:00:20.000,3
00/00/1970-00:00:30.000,3
00/00/1970-00:00:40.000,1
00/00/1970-00:00:50.000,3
00/00/1970-00:01:00.000,2
26/01/2018-07:12:04.200,3
26/01/2018-07:12:14.200,3
26/01/2018-07:12:24.300,3
26/01/2018-07:12:34.300,3
26/01/2018-07:12:44.300,3
26/01/2018-07:12:54.300,3
26/01/2018-07:13:04.300,4
26/01/2018-07:14:35.200,4
26/01/2018-07:14:45.200,5
26/01/2018-07:14:55.300,5
26/01/2018-07:15:05.300,4
26/01/2018-07:15:15.400,5
26/01/2018-07:15:25.400,3
26/01/2018-07:15:35.500,3
26/01/2018-07:15:45.500,3
26/01/2018-07:15:55.500,3
26/01/2018-07:16:05.500,3
26/01/2018-07:16:15.500,3
26/01/2018-07:16:25.500,2
26/01/2018-07:16:35.500,3
26/01/2018-07:16:45.500,3
26/01/2018-07:16:55.500,3
26/01/2018-07:17:05.500,3
26/01/2018-07:17:15.500,3
26/01/2018-07:17:25.500,3
26/01/2018-07:17:35.500,1
26/01/2018-07:17:45.500,3
26/01/2018-07:17:55.500,3
26/01/2018-07:18:05.500,2
26/01/2018-07:18:15.500,3
26/01/2018-10:11:32.700,1
26/01/2018-10:11:42.700,1
26/01/2018-10:11:52.700,1
26/01/2018-10:12:02.700,3
26/01/2018-10:12:12.700,2
26/01/2018-10:12:22.700,1
26/01/2018-10:12:32.700,3
26/01/2018-10:12:42.700,3
26/01/2018-10:18:27.400,3
26/01/2018-10:18:37.500,3
26/01/2018-10:18:47.500,1
26/01/2018-10:18:57.500,4
26/01/2018-10:19:07.500,3
26/01/2018-10:19:17.500,1
26/01/2018-10:19:27.500,2
26/01/2018-10:19:37.500,2
26/01/2018-10:19:47.500,1
26/01/2018-10:19:57.500,1
26/01/2018-10:20:07.500,1
26/01/2018-10:20:17.500,2
26/01/2018-10:20:27.500,1
26/01/2018-10:20:37.500,1
26/01/2018-10:20:47.500,1
26/01/2018-10:20:57.500,3
26/01/2018-10:21:07.500,2
26/01/2018-10:21:17.500,2
26/01/2018-10:21:27.500,2
26/01/2018-10:21:37.500,1
26/01/2018-10:21:47.500,1
26/01/2018-10:21:57.500,3
26/01/2018-10:22:07.500,3
26/01/2018-10:22:17.500,1
26/01/2018-10:22:27.500,1
26/01/2018-10:22:37.500,5
26/01/2018-10:22:47.500,5
26/01/2018-10:22:57.500,5
26/01/2018-10:23:07.500,1
26/01/2018-11:05:34.100,1
26/01/2018-11:05:44.200,1
26/01/2018-11:05:54.200,1
26/01/2018-11:06:04.300,1
26/01/2018-11:06:14.400,5
26/01/2018-11:06:24.400,1
26/01/2018-11:06:34.500,1
26/01/2018-11:06:44.500,1
26/01/2018-11:06:54.600,1
26/01/2018-11:07:04.600,1
26/01/2018-11:07:14.700,1
26/01/2018-11:07:24.700,1
26/01/2018-11:07:34.800,1
