DateTime,Behaviour
00/00/1970-00:00:00.,3
00/00/1970-00:00:10.000,3
00/00/1970-00:00:20.000,3
00/00/1970-00:00:30.000,3
00/00/1970-00:00:40.000,3
26/01/2018-07:08:24.600,3
26/01/2018-07:08:34.600,1
26/01/2018-07:08:44.600,3
26/01/2018-07:08:54.600,3
26/01/2018-07:09:04.600,3
26/01/2018-07:09:14.600,3
26/01/2018-07:09:24.600,2
26/01/2018-07:09:34.600,5
26/01/2018-07:10:01.800,5
26/01/2018-07:10:11.800,5
26/01/2018-07:10:21.900,5
26/01/2018-07:10:31.900,5
26/01/2018-07:10:42.000,5
26/01/2018-07:10:52.100,5
26/01/2018-07:11:02.100,5
26/01/2018-07:11:12.200,5
26/01/2018-07:11:22.300,5
26/01/2018-07:11:32.300,5
26/01/2018-07:11:42.400,5
26/01/2018-07:11:52.400,5
26/01/2018-07:12:02.500,5
26/01/2018-07:12:12.600,5
26/01/2018-07:12:22.600,5
26/01/2018-07:12:32.700,5
26/01/2018-07:12:42.700,5
26/01/2018-07:12:52.800,3
26/01/2018-07:13:02.900,5
26/01/2018-07:13:12.900,3
26/01/2018-07:13:23.000,3
26/01/2018-07:13:33.100,3
26/01/2018-07:13:43.100,3
26/01/2018-07:13:53.200,1
26/01/2018-07:14:03.200,1
26/01/2018-07:14:13.300,3
26/01/2018-07:14:23.300,1
26/01/2018-07:14:33.400,5
26/01/2018-07:14:43.500,1
26/01/2018-07:14:53.500,5
26/01/2018-07:15:03.600,1
26/01/2018-07:15:13.600,5
26/01/2018-07:15:23.600,2
26/01/2018-07:15:33.600,2
26/01/2018-07:15:43.600,2
26/01/2018-07:15:53.600,1
26/01/2018-07:16:03.600,1
26/01/2018-07:16:13.600,3
26/01/2018-07:16:23.600,2
26/01/2018-07:16:33.600,5
26/01/2018-07:16:43.600,1
26/01/2018-07:16:53.600,5
26/01/2018-07:17:03.600,2
26/01/2018-07:17:13.600,2
26/01/2018-07:17:23.600,3
26/01/2018-07:17:33.600,1
26/01/2018-07:17:43.600,2
26/01/2018-07:17:53.600,5
26/01/2018-07:18:03.600,5
26/01/2018-07:18:13.600,5
26/01/2018-07:18:23.600,1
26/01/2018-07:18:33.600,1
26/01/2018-07:18:43.600,3
26/01/2018-07:18:53.600,3
26/01/2018-07:19:03.600,3
26/01/2018-07:19:13.600,3
26/01/2018-07:19:23.600,1
26/01/2018-07:19:33.600,3
26/01/2018-07:19:43.600,1
26/01/2018-07:19:53.600,1
26/01/2018-07:20:03.600,3
26/01/2018-07:20:13.600,1
26/01/2018-07:20:23.600,3
26/01/2018-07:20:33.600,3
26/01/2018-07:20:43.600,3
26/01/2018-07:20:53.600,3
26/01/2018-07:21:03.600,3
26/01/2018-07:21:13.600,3
26/01/2018-07:21:23.600,3
26/01/2018-07:21:33.600,3
26/01/2018-07:21:43.600,3
26/01/2018-07:21:53.600,3
26/01/2018-07:22:03.600,3
26/01/2018-07:22:13.600,3
